week,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other
27,0.034730678,0.408550598,1.195849957,0.000150467,0.214077031,0.088266751,0.810273781,0,0
28,0.048622949,0.571970837,1.67418994,0.000210654,0.299707844,0.123573452,1.134383294,0,0
29,0.048622949,0.571970837,1.67418994,0.000210654,0.299707844,0.123573452,1.134383294,0,0
30,0.048622949,0.571970837,1.67418994,0.000210654,0.299707844,0.123573452,1.134383294,0,0
31,0.035146038,0.491006965,1.264452006,0.000150875,0.222415371,0.093020557,0.972436879,0,0
32,0.001453758,0.288597284,0.240107171,1.42826E-06,0.029184189,0.016638318,0.56757084,0,0
33,0.001453758,0.288597284,0.240107171,1.42826E-06,0.029184189,0.016638318,0.56757084,0,0
34,0.001453758,0.288597284,0.240107171,1.42826E-06,0.029184189,0.016638318,0.56757084,0,0
35,0.001453758,0.288597284,0.240107171,1.42826E-06,0.029184189,0.016638318,0.56757084,0,0
36,0.776108403,0.312533703,12.59183129,0.12205862,3.280167168,1.010030146,1.321511358,0,0
37,0.905217511,0.316523106,14.65045197,0.142401486,3.821997665,1.17559545,1.447168111,0,0
38,0.905217511,0.316523106,14.65045197,0.142401486,3.821997665,1.17559545,1.447168111,0,0
39,0.905217511,0.316523106,14.65045197,0.142401486,3.821997665,1.17559545,1.447168111,0,0
40,1.180816309,1.764359826,17.20425307,0.505425951,4.782744514,1.403660313,4.739829276,0,0
41,1.387515409,2.850237367,19.11960389,0.7776943,5.50330465,1.57470896,7.20932515,0,0
42,1.387515409,2.850237367,19.11960389,0.7776943,5.50330465,1.57470896,7.20932515,0,0
43,1.387515409,2.850237367,19.11960389,0.7776943,5.50330465,1.57470896,7.20932515,0,0
44,1.32998658,2.485576233,16.86063577,0.67221622,5.36917075,1.569609422,6.35348928,0,0
45,0.984813606,0.297609431,3.306827048,0.039347744,4.564367348,1.539012196,1.218474057,0,0
46,0.984813606,0.297609431,3.306827048,0.039347744,4.564367348,1.539012196,1.218474057,0,0
47,0.984813606,0.297609431,3.306827048,0.039347744,4.564367348,1.539012196,1.218474057,0,0
48,0.984813606,0.297609431,3.306827048,0.039347744,4.564367348,1.539012196,1.218474057,0,0
49,1.185365508,0.635424025,11.44764619,0.212196629,5.007618071,1.541201712,2.338138128,0,0
50,1.218790825,0.691726458,12.80444938,0.241004776,5.081493191,1.541566631,2.524748807,0,0
51,1.218790825,0.691726458,12.80444938,0.241004776,5.081493191,1.541566631,2.524748807,0,0
52,1.218790825,0.691726458,12.80444938,0.241004776,5.081493191,1.541566631,2.524748807,0,0
53,1.120322868,0.439401294,7.723279828,0.224813789,5.119839427,1.594121024,1.849165217,0.261290323,2.621612903
54,0.989032258,0.102967742,0.948387097,0.203225806,5.170967742,1.664193548,0.948387097,0.609677419,6.117096774
55,0.989032258,0.102967742,0.948387097,0.203225806,5.170967742,1.664193548,0.948387097,0.609677419,6.117096774
56,0.989032258,0.102967742,0.948387097,0.203225806,5.170967742,1.664193548,0.948387097,0.609677419,6.117096774
57,0.989032258,0.102967742,0.948387097,0.203225806,5.170967742,1.664193548,0.948387097,0.609677419,6.117096774
58,0.624208735,0.461674384,2.830306453,0.14404817,4.801605655,1.560521838,1.176393386,0,0
59,0.624208735,0.461674384,2.830306453,0.14404817,4.801605655,1.560521838,1.176393386,0,0
60,0.624208735,0.461674384,2.830306453,0.14404817,4.801605655,1.560521838,1.176393386,0,0
61,0.624208735,0.461674384,2.830306453,0.14404817,4.801605655,1.560521838,1.176393386,0,0
62,1.889172676,0.472405096,8.454006913,0.092191213,4.254553655,1.426351046,1.173267436,0.168387097,3.086234533
63,2.1,0.474193548,9.391290323,0.083548387,4.163378321,1.403989247,1.172746445,0.196451613,3.600606955
64,2.1,0.474193548,9.391290323,0.083548387,4.163378321,1.403989247,1.172746445,0.196451613,3.600606955
65,2.1,0.474193548,9.391290323,0.083548387,4.163378321,1.403989247,1.172746445,0.196451613,3.600606955
66,1.720519626,0.358156959,7.797286983,0.051229504,4.030524286,1.371625157,1.092136636,0.112258065,2.057489688
67,0.694026167,0.116252289,3.241113827,0.004650092,2.201934612,0.759127449,0.56266108,0,0
68,0.694026167,0.116252289,3.241113827,0.004650092,2.201934612,0.759127449,0.56266108,0,0
69,0.694026167,0.116252289,3.241113827,0.004650092,2.201934612,0.759127449,0.56266108,0,0
70,1.085232799,0.199217144,5.883606224,0.032459008,4.065805144,1.358046013,1.066894846,0.035483871,0.160870968
71,0.309354839,0.173870968,7.153548387,0.178387097,5.340322581,1.535483871,1.560322581,0.248387097,1.126096774
72,0.309354839,0.173870968,7.153548387,0.178387097,5.340322581,1.535483871,1.560322581,0.248387097,1.126096774
73,0.309354839,0.173870968,7.153548387,0.178387097,5.340322581,1.535483871,1.560322581,0.248387097,1.126096774
74,0.309354839,0.173870968,7.153548387,0.178387097,5.340322581,1.535483871,1.560322581,0.248387097,1.126096774
75,0.365506577,0.286470837,6.218627763,0.058481179,2.854356429,0.900046854,1.068392448,0.070967742,0.321741935
76,0.387967273,0.331510785,5.844659514,0.010518813,1.859969969,0.645872048,0.871620395,0,0
77,0.387967273,0.331510785,5.844659514,0.010518813,1.859969969,0.645872048,0.871620395,0,0
78,0.387967273,0.331510785,5.844659514,0.010518813,1.859969969,0.645872048,0.871620395,0,0
79,0.221695584,0.189434734,3.339805436,0.00601075,1.062839982,0.369069741,0.498068797,0,0
